#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
84,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13.8M,0.1%,India,Celebrity,4.1M,UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,19800000,7977754309,471
85,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13.5M,-,India,,4.1M,UCL3IoeeHKzWMxZxhmnmETjw,,,,
86,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13.5M,-,India,,4.1M,UCU_AsfgtKjwR4qaSwgsWn-w,infobells,14400000,5854711399,768
87,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13.3M,-,India,,4M,UC0zXnLIFedO97pFsyMxZcFg,The MriDul,20000000,6924877254,441
88,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13.2M,0.2%,India,,4M,UCpCWa9f5_J3PqY-_Lg-_QfQ,MyMissAnand,13800000,5684418978,548
89,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13.2M,0.1%,India,Fashion Beauty,4M,UCuN4A3GCUq5-0wJDSiJoxRQ,Anaysa,13500000,3845069891,724
90,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13.1M,-,India,,3.9M,UCgoxyzvouZM-tCgsYzrYtyg,NishaMadhulika,15200000,3689514498,2583
91,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13M,-,India,,3.9M,UCnoqvTW4YZExfDeq7_Wmd-w,ETV Jabardasth,15700000,18189995441,17791
92,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13M,-,India,Video Gaming,3.9M,UCx6F-rETGiz7xf_vkMmX2yQ,Mythpat,17500000,4460442978,437
93,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13M,0.5%,India,,3.9M,UCuApqv2tNQ73S7gcfrfCSDw,Desi Gamers,17700000,2993875282,1549
94,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13M,-,India,,3.9M,UCeMsqI6jU9WE2ctsrbxbywQ,Zee Bangla,21800000,18714142018,199593
95,Lotus Music @UCJeeXUtsKBj89Ra1nszP4JQ,12.9M,-,India,Music,3.9M,UCJeeXUtsKBj89Ra1nszP4JQ,,,,
96,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12.8M,-,India,,3.8M,UCTbNOCtAGaqOEnLMeo3JTeg,CookingShooking Hindi,13500000,2045163241,447
97,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12.7M,-,India,,3.8M,UC3PYGKK29qJ0zu-eEthHK4g,Zee Telugu,18000000,16527233529,226682
98,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12.7M,-,India,,3.8M,UC9dyrsYEmD4iGJ8Oz1G5dpw,Dear Sir,22700000,2478051169,1628
99,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12.6M,-,India,,3.8M,UCpN-WGQgGsOrXm7nHXDdTDA,T-Series Hamaar Bhojpuri,24400000,14847055818,12112
100,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12.6M,-,India,,3.8M,UCPMqs8vxEwbie26nFA3ykAw,Health Time,12300000,1024696566,1724
